geonames_id,Place_geonames_id,lat_geonames_id,lon_geonames_id
3427400,Estancia Villa María,-38.08333,-59.66667
3427401,Estancia Villa María,-29.29243,-58.98408
3427402,Estancia Villa María,-27.8,-58.2
3427403,Estancia Villa María,-25.2023,-58.77114
3427404,Villa Mantero,-32.39837,-58.74607
3427405,Villa Eduardo Madero,-34.68801,-58.49329
3427406,Villa Luzuriaga,-34.66354,-58.58241
3427407,Villa Luro,-34.63814,-58.50273
3427408,Villa Lugano,-34.67907,-58.47263
3427409,Villa Lonca,-27.45668,-55.85944
3427410,Villa Lila,-33.13089,-58.76521
3427411,Villa Libertad,-34.58429,-58.5626
3427412,Villa Lía,-34.12316,-59.43051
3427413,Villa León,-34.6359,-58.70186
3427414,Villa Leloir,-34.61358,-58.6803
3427415,Villalba Cué,-27.61667,-57.26667
3427416,Villa Lamadrid,-34.66667,-58.51667
3427417,Villa Insuperable,-34.67083,-58.51105
3427418,Villa Iglesias,-34.51623,-58.74919
3427419,Villa Hogar Alemán,-34.83333,-58.43333
3427420,Villa Hernandarias,-31.23097,-59.98464
3427421,Villa Guntz,-27.48713,-55.09515
3427422,Villa Guillermina,-28.24258,-59.45446
3427423,Arroyo Villaguay Grande,-31.70889,-58.89602
3427424,Arroyo Villaguay Chico,-31.70207,-58.8922
3427425,Estación Villaguay Central,-31.9,-59.01667
3427426,Departamento de Villaguay,-31.58333,-59
3427427,Arroyo Villaguay,-31.92969,-59.09586
3427428,Villaguay,-31.86767,-59.02701
3427429,Villaguay,-31.35,-58.46667
3427430,Villa Giambruno,-34.80336,-58.2095
3427431,Villa Gesell,-37.26394,-56.97304
3427433,Villa General Mitre,-34.61039,-58.47173
3427434,Villa Garibaldi,-34.99994,-57.85877
3427435,Villa Galicia,-34.76225,-58.37983
3427436,Colonia Villa Federal,-30.90167,-58.83763
3427437,Estancia Villa Esther,-29.14283,-56.87591
3427438,Villa España,-34.77537,-58.19959
3427439,Villa Escolar,-26.62272,-58.66983
